"BioYear","EweGroup","TotalSampled","NumberPos","Prevalence","SE","z","Upper","Lower"
"2021","Clear Creek",15,NA,NA,NA,1.95996398454005,NA,NA
"2021","Ebenezer",18,2,11.1111111111111,0.0740740740740741,1.95996398454005,25.6293628484448,-3.40714062622262
"2021","Indianola",24,NA,NA,NA,1.95996398454005,NA,NA
"2021","Tower Kriley",6,1,16.6666666666667,0.152145154862546,1.95996398454005,46.4865690619526,-13.1532357286193
"2022","Clear Creek",1,0,0,0,1.95996398454005,0,0
"2022","Ebenezer",30,NA,NA,NA,1.95996398454005,NA,NA
"2022","Indianola",36,NA,NA,NA,1.95996398454005,NA,NA
"2022","Tower Kriley",10,NA,NA,NA,1.95996398454005,NA,NA
"2023","Clear Creek",24,NA,NA,NA,1.95996398454005,NA,NA
"2023","Ebenezer",31,NA,NA,NA,1.95996398454005,NA,NA
"2023","Indianola",32,NA,NA,NA,1.95996398454005,NA,NA
"2023","Tower Kriley",15,NA,NA,NA,1.95996398454005,NA,NA
"2024","Clear Creek",32,NA,NA,NA,1.95996398454005,NA,NA
"2024","Ebenezer",46,NA,NA,NA,1.95996398454005,NA,NA
"2024","Indianola",58,NA,NA,NA,1.95996398454005,NA,NA
"2024","Tower Kriley",13,NA,NA,NA,1.95996398454005,NA,NA
